sid,timepoint,factor,semipartial correlation
3,125,Attended Area,0.6755513793569301
3,175,Attended Area,0.49190676334313416
3,225,Attended Area,0.5357201667455672
3,275,Attended Area,0.4724938188015233
3,325,Attended Area,0.3265252414601362
3,375,Attended Area,0.30597017479127475
3,425,Attended Area,0.37466677650377483
3,475,Attended Area,0.36012983714698626
3,525,Attended Area,0.07243827183646784
3,575,Attended Area,0.18785384732212668
3,625,Attended Area,0.06401063015162377
3,675,Attended Area,-0.10012676343509165
3,725,Attended Area,-0.23417662833333297
3,775,Attended Area,-0.10991994259589909
3,825,Attended Area,-0.04935145579856191
3,875,Attended Area,0.07596391215413241
3,925,Attended Area,0.16588614499586313
3,975,Attended Area,-0.03014274019980668
3,1025,Attended Area,-0.08737573062584958
3,1075,Attended Area,-0.17417001702406157
3,1125,Attended Area,-0.17245729155726244
3,1175,Attended Area,-0.12420097871306084
3,1225,Attended Area,0.026897950130079187
3,-225,Total,0.29516879943883173
3,-175,Total,0.24950073211635634
3,-125,Total,0.3712347772324543
3,-75,Total,0.38018693299277573
3,-25,Total,0.18675204494031078
3,25,Total,0.4119509418267197
3,75,Total,0.48528826696666555
3,125,Total,0.6999483662094586
3,175,Total,0.5015679613633008
3,225,Total,0.5839243333468682
3,275,Total,0.6640519059709653
3,325,Total,0.6253208512912153
3,375,Total,0.4094016258615744
3,425,Total,0.5001511676850762
3,475,Total,0.5885575158118949
3,525,Total,0.5758016988146942
3,575,Total,0.4100241056836757
3,625,Total,0.6440894494773305
3,675,Total,0.6125464752146549
3,725,Total,0.6892389385607185
3,775,Total,0.5331618962628837
3,825,Total,0.8300443456481865
3,875,Total,0.6459494782964058
3,925,Total,0.6819602942906352
3,975,Total,0.5838347217277206
3,1025,Total,0.7408577044808696
3,1075,Total,0.4246270212935821
3,1125,Total,0.45849613777036957
3,1175,Total,0.5288126160248129
3,1225,Total,0.6612864806686182
4,-225,Set Size,0.4832536483283387
4,-175,Set Size,0.14487129540185795
4,-125,Set Size,-0.00020576893308524945
4,-75,Set Size,0.42193031989281915
4,-25,Set Size,-0.19896643623454313
4,25,Set Size,0.1856646196333916
4,75,Set Size,0.4892647205714442
4,125,Set Size,0.2644958809835387
4,175,Set Size,0.07030194388928025
4,225,Set Size,0.16505299528248582
4,275,Set Size,0.14091648134814666
4,325,Set Size,0.20912867833643395
4,375,Set Size,0.18374020404674374
4,425,Set Size,0.13291887854935613
4,475,Set Size,0.18661629168354002
4,525,Set Size,0.3134579097561438
4,575,Set Size,0.18030845171612245
4,625,Set Size,-0.023860714782305135
4,675,Set Size,-0.07356043404755683
4,725,Set Size,-0.009770816416844892
4,775,Set Size,-0.07216104904909137
4,825,Set Size,-0.08937552494893797
4,875,Set Size,-0.20807839380535365
4,925,Set Size,-0.2684951301447031
4,975,Set Size,-0.2649817901433625
4,1025,Set Size,-0.30104142194310857
4,1075,Set Size,-0.2912107834903312
4,1125,Set Size,-0.1687311301051852
4,1175,Set Size,-0.10531195109276084
4,1225,Set Size,-0.25417717686465396
4,-225,Number of Locations,-0.09212251163141055
4,-175,Number of Locations,0.15310768119690274
4,-125,Number of Locations,-0.03446054635620384
4,-75,Number of Locations,0.21926960087611583
4,-25,Number of Locations,-0.24223822587630506
4,25,Number of Locations,0.26979369191738367
4,75,Number of Locations,0.31913933843722847
4,125,Number of Locations,0.10742343976395691
4,175,Number of Locations,0.06857995993332584
4,225,Number of Locations,0.27447093676871026
4,275,Number of Locations,0.164051049542797
4,325,Number of Locations,0.5874648224008352
4,375,Number of Locations,0.286248380122004
4,425,Number of Locations,0.40820037528682446
4,475,Number of Locations,0.23014762020735266
4,525,Number of Locations,0.4272158826905001
4,575,Number of Locations,0.16950671979881876
4,625,Number of Locations,0.13116530485863373
4,675,Number of Locations,-0.033689285667799974
4,725,Number of Locations,-0.028349665827668
4,775,Number of Locations,0.2777349130304318
4,825,Number of Locations,0.12495834233453212
4,875,Number of Locations,-0.1828573161905956
4,925,Number of Locations,-0.3326143905987238
4,975,Number of Locations,-0.20682896173119245
4,1025,Number of Locations,-0.07261060647853751
4,1075,Number of Locations,-0.002144850629895314
4,1125,Number of Locations,-0.10120289515154984
4,1175,Number of Locations,-0.14005031701937906
4,1225,Number of Locations,-0.12154857265098126
4,-225,Overlap Process,-0.04776474110395635
4,-175,Overlap Process,-0.20725935383116434
4,-125,Overlap Process,0.02180626204753044
4,-75,Overlap Process,-0.1231708674147459
4,-25,Overlap Process,-0.012990532234189922
4,25,Overlap Process,-0.13784015202725494
4,75,Overlap Process,-0.14236042975716254
4,125,Overlap Process,-0.07007143981199074
4,175,Overlap Process,-0.0034790170156181084
4,225,Overlap Process,0.04858299510810216
4,275,Overlap Process,0.003994257809749279
4,325,Overlap Process,0.09881093261032024
4,375,Overlap Process,0.28553664563040393
4,425,Overlap Process,0.09330717076404078
4,475,Overlap Process,-0.16648530773459988
4,525,Overlap Process,-0.14472667872591713
4,575,Overlap Process,-0.017389820663707384
4,625,Overlap Process,0.0889741931621317
4,675,Overlap Process,0.3582743132325804
4,725,Overlap Process,0.2531466455055718
4,775,Overlap Process,0.21174475330755987
4,825,Overlap Process,0.11961605068948046
4,875,Overlap Process,0.2972880296149893
4,925,Overlap Process,0.2990123891664238
4,975,Overlap Process,0.27099238190453634
4,1025,Overlap Process,0.24134970325722252
4,1075,Overlap Process,0.17618232673577858
4,1125,Overlap Process,0.24259293182698594
4,1175,Overlap Process,0.3203109393918524
4,1225,Overlap Process,0.2507588792796608
4,-225,Attended Area,0.008198687792542292
4,-175,Attended Area,-0.011621847494162176
4,-125,Attended Area,0.18415783550313392
4,-75,Attended Area,-0.13390562506548195
4,-25,Attended Area,-0.21963874490169694
4,25,Attended Area,-0.07203226118668454
4,75,Attended Area,0.3786895481095309
4,125,Attended Area,0.8130231261154681
4,175,Attended Area,0.6658331203773056
4,225,Attended Area,0.5444149843248369
4,275,Attended Area,0.7755082827042465
4,325,Attended Area,0.41455256420582964
4,375,Attended Area,0.6129531313202466
4,425,Attended Area,0.5794404454103497
4,475,Attended Area,0.1208830905569021
4,525,Attended Area,0.1779407213381431
4,575,Attended Area,0.552445732817204
4,625,Attended Area,0.5928208172125641
4,675,Attended Area,0.46069926644201337
4,725,Attended Area,0.4733969152887558
4,775,Attended Area,0.22616003675047436
4,825,Attended Area,0.37349188376816006
4,875,Attended Area,0.27524788437160796
4,925,Attended Area,0.15497790580160298
4,975,Attended Area,0.16628136941376429
4,1025,Attended Area,0.08213172056373283
4,1075,Attended Area,0.1446655175931824
4,1125,Attended Area,0.2910207195130929
4,1175,Attended Area,-0.01826109153205327
